instance,pipeline,arm,timelimit,rep,phase,status,feasible,fail_stage,objective,obj1,obj2,obj3,lb_gap,lb_gap_note,wall,margin_vs_90pct,peak_rss_mb,full_ran,full_skip_reason,lbbd_ran,process_wall,note
prob_21,"solver:baseline-arm (api.solve, assign_arm='baseline')",baseline,60.0,1,panel_gate,OK,True,,5303606.0,362.0,786,3128.0,0,proof(zero-tardy),51.872,2.128,304.0,False,budget 2.9s < expected 8.7s,False,54.53,
prob_21,"solver:congestion-arm (api.solve, assign_arm='congestion')",congestion,60.0,1,panel_gate,OK,True,,5719218.0,396.0,1230,2847.0,0,proof(zero-tardy),51.798,2.202,262.3,False,budget 3.0s < expected 8.0s,False,54.422,
prob_21,"solver:baseline-arm (api.solve, assign_arm='baseline')",baseline,60.0,2,panel_gate,OK,True,,5277656.0,362.0,696,2961.0,0,proof(zero-tardy),51.833,2.167,323.1,False,budget 3.0s < expected 8.6s,False,54.355,
prob_21,"solver:congestion-arm (api.solve, assign_arm='congestion')",congestion,60.0,2,panel_gate,OK,True,,5719218.0,396.0,1230,2847.0,0,proof(zero-tardy),51.962,2.038,259.6,False,budget 2.8s < expected 7.8s,False,54.171,
prob_21,"solver:baseline-arm (api.solve, assign_arm='baseline')",baseline,60.0,3,panel_gate,OK,True,,5277656.0,362.0,696,2961.0,,n/a(full skipped: budget 4.2s < expected 8.8s),50.57,3.43,284.8,False,budget 4.2s < expected 8.8s,False,52.95,
prob_21,"solver:congestion-arm (api.solve, assign_arm='congestion')",congestion,60.0,3,panel_gate,OK,True,,5717978.0,396.0,1016,2853.0,,n/a(full skipped: budget 2.9s < expected 9.0s),51.948,2.052,238.0,False,budget 2.9s < expected 9.0s,False,53.988,
prob_21,"solver:baseline-arm (api.solve, assign_arm='baseline')",baseline,60.0,4,panel_gate,OK,True,,5287506.0,362.0,676,3028.0,,n/a(full skipped: budget 3.0s < expected 8.7s),51.804,2.196,317.3,False,budget 3.0s < expected 8.7s,False,54.019,
prob_21,"solver:baseline-arm (api.solve, assign_arm='baseline')",baseline,60.0,5,panel_gate,OK,True,,5303606.0,362.0,786,3128.0,,n/a(full skipped: budget 2.7s < expected 8.6s),52.114,1.886,279.1,False,budget 2.7s < expected 8.6s,False,54.265,
prob_21,"solver:congestion-arm (api.solve, assign_arm='congestion')",congestion,60.0,4,panel_gate,OK,True,,5719218.0,396.0,1230,2847.0,,n/a(full skipped: budget 2.9s < expected 8.4s),51.858,2.142,280.7,False,budget 2.9s < expected 8.4s,False,54.125,
prob_21,"solver:congestion-arm (api.solve, assign_arm='congestion')",congestion,60.0,5,panel_gate,OK,True,,5719218.0,396.0,1230,2847.0,,n/a(full skipped: budget 2.7s < expected 8.6s),52.132,1.868,282.7,False,budget 2.7s < expected 8.6s,False,54.893,
prob_26,"solver:baseline-arm (api.solve, assign_arm='baseline')",baseline,60.0,1,panel_gate,OK,True,,23398462.0,1713.0,2569,3607.0,,n/a(full skipped: budget 3.7s < expected 13.2s),51.065,2.935,306.3,False,budget 3.7s < expected 13.2s,False,53.83,
prob_26,"solver:congestion-arm (api.solve, assign_arm='congestion')",congestion,60.0,1,panel_gate,OK,True,,20133059.0,1461.0,3278,4204.0,,n/a(full skipped: budget 3.9s < expected 13.2s),50.888,3.112,195.9,False,budget 3.9s < expected 13.2s,False,53.533,
prob_26,"solver:baseline-arm (api.solve, assign_arm='baseline')",baseline,60.0,2,panel_gate,OK,True,,23265132.0,1703.0,2569,3607.0,,n/a(full skipped: budget 4.1s < expected 13.1s),50.714,3.286,325.2,False,budget 4.1s < expected 13.1s,False,53.28,
prob_26,"solver:congestion-arm (api.solve, assign_arm='congestion')",congestion,60.0,2,panel_gate,OK,True,,20109060.0,1459.0,3059,4232.0,,n/a(full skipped: budget 4.1s < expected 11.6s),50.722,3.278,301.0,False,budget 4.1s < expected 11.6s,False,52.886,
prob_26,"solver:baseline-arm (api.solve, assign_arm='baseline')",baseline,60.0,3,panel_gate,OK,True,,23291798.0,1705.0,2569,3607.0,,n/a(full skipped: budget 3.8s < expected 13.1s),51.013,2.987,294.9,False,budget 3.8s < expected 13.1s,False,53.6,
prob_26,"solver:congestion-arm (api.solve, assign_arm='congestion')",congestion,60.0,3,panel_gate,OK,True,,20532873.0,1490.0,3079,4301.0,,n/a(full skipped: budget 4.1s < expected 13.8s),50.686,3.314,228.0,False,budget 4.1s < expected 13.8s,False,52.935,
